Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T00:00:00Z,-0.7,284.3,1.8,56.3,1025.7,0.0,0.0,0.0,0.0,0.0,-8.7
2016-02-24T03:00:00Z,-5.1,227.8,1.6,61.5,1026.3,19.5,0.0,0.0,0.0,19.5,-11.8
2016-02-24T06:00:00Z,-5.3,161.8,1.8,57.9,1027.0,61.7,0.0,0.0,0.0,61.7,-12.7
2016-02-24T09:00:00Z,-7.5,163.5,2.6,56.3,1027.4,95.3,0.0,0.0,0.0,95.3,-15.2
2016-02-24T12:00:00Z,-10.5,163.2,2.9,63.7,1027.1,96.9,0.0,0.0,7.0,96.9,-16.5
2016-02-24T15:00:00Z,-9.3,159.7,2.7,62.5,1026.4,99.2,0.0,0.0,96.9,96.1,-15.6
2016-02-24T18:00:00Z,-3.0,154.8,2.5,57.8,1025.8,99.2,0.0,0.0,18.0,99.2,-10.5
2016-02-24T21:00:00Z,2.1,173.4,1.6,49.4,1022.7,99.2,0.0,0.0,98.4,98.4,-7.7
2016-02-25T00:00:00Z,2.1,177.4,1.3,58.2,1020.9,99.2,0.0,0.0,95.3,90.6,-5.5
2016-02-25T03:00:00Z,-2.7,209.2,2.6,67.9,1020.5,0.0,0.0,0.0,0.0,0.0,-8.1
2016-02-25T06:00:00Z,-2.4,241.0,3.5,60.3,1020.7,0.0,0.0,0.0,0.0,0.0,-9.4
2016-02-25T09:00:00Z,-1.4,250.5,4.0,64.3,1020.4,2.3,0.0,0.0,0.0,2.3,-7.6
2016-02-25T12:00:00Z,-1.0,249.2,4.2,67.2,1020.4,97.7,0.0,0.0,0.0,97.7,-6.6
2016-02-25T15:00:00Z,-0.9,252.8,3.8,68.6,1020.5,56.2,0.0,0.0,0.0,56.2,-6.2
2016-02-25T18:00:00Z,3.9,245.2,2.8,56.9,1019.8,87.5,0.0,0.0,13.3,86.7,-4.1
2016-02-25T21:00:00Z,7.2,250.2,3.6,46.3,1017.8,67.2,0.0,0.0,0.0,67.2,-3.8
2016-02-26T00:00:00Z,5.2,245.1,3.5,55.1,1017.0,93.8,0.0,0.0,5.5,93.8,-3.3
2016-02-26T03:00:00Z,0.9,237.3,3.7,70.7,1016.7,0.0,0.0,0.0,0.0,0.0,-4.1
2016-02-26T06:00:00Z,-0.1,239.8,2.9,68.5,1015.6,84.4,0.0,0.0,0.0,84.4,-5.4
2016-02-26T09:00:00Z,-0.9,238.2,2.6,69.1,1014.4,78.1,0.0,0.0,25.0,76.6,-6.1
2016-02-26T12:00:00Z,-2.7,229.8,2.4,68.6,1013.6,97.7,0.0,0.0,49.2,96.9,-7.9
2016-02-26T18:00:00Z,6.5,247.5,2.6,53.3,1009.6,97.7,0.0,0.0,61.7,97.7,-2.6
2016-02-27T00:00:00Z,6.1,242.9,3.4,56.5,1008.0,100.0,0.0,0.0,4.7,100.0,-2.1
2016-02-27T06:00:00Z,2.3,254.2,3.9,76.5,1007.5,99.2,0.0,0.0,99.2,96.1,-1.7
2016-02-27T12:00:00Z,0.3,285.2,2.7,88.4,1007.7,100.0,0.0,0.0,100.0,100.0,-1.6
2016-02-27T18:00:00Z,2.2,299.4,1.3,77.4,1009.0,100.0,0.0,15.6,100.0,99.2,-1.6
2016-02-28T00:00:00Z,4.9,58.4,0.9,69.3,1008.4,25.8,0.0,18.8,19.5,0.0,-0.4
2016-02-28T06:00:00Z,-0.6,242.5,3.0,77.7,1009.5,61.7,0.0,0.0,0.0,61.7,-4.2
2016-02-28T12:00:00Z,-2.3,244.6,2.2,74.0,1008.9,0.0,0.0,0.0,0.0,0.0,-6.5
2016-02-28T18:00:00Z,1.0,63.7,1.3,66.7,1009.1,82.8,0.0,0.0,78.9,32.0,-4.7
2016-02-29T00:00:00Z,1.1,56.8,3.1,74.6,1008.3,100.0,0.0,62.5,100.0,97.7,-3.1
2016-02-29T06:00:00Z,-1.6,96.4,1.9,88.4,1009.6,100.0,0.0,93.0,98.4,53.9,-3.5
2016-02-29T12:00:00Z,-3.6,222.5,1.9,92.1,1010.3,16.4,0.0,15.6,7.0,0.0,-5.0
2016-02-29T18:00:00Z,2.6,260.0,4.2,62.2,1013.0,97.7,0.0,2.3,85.9,93.8,-4.1
