Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T03:00:00Z,2.3,346.7,3.3,77.6,1023.0,96.9,0.0,0.0,0.0,96.9,-1.4
2016-02-24T06:00:00Z,2.3,342.4,3.0,76.4,1023.1,96.9,0.0,0.0,3.9,96.9,-1.7
2016-02-24T09:00:00Z,2.1,334.6,2.1,77.0,1023.7,90.6,0.0,0.0,24.2,89.8,-1.7
2016-02-24T12:00:00Z,2.5,339.2,1.5,71.4,1024.1,97.7,0.0,0.0,80.5,94.5,-2.3
2016-02-24T15:00:00Z,3.2,356.3,1.2,64.3,1024.8,82.8,0.0,0.0,82.8,0.0,-3.1
2016-02-24T18:00:00Z,6.6,105.7,1.3,57.1,1025.4,29.7,0.0,0.0,25.0,7.8,-1.5
2016-02-24T21:00:00Z,8.8,110.4,1.5,58.8,1024.5,45.3,0.0,0.0,14.1,37.5,1.1
2016-02-25T00:00:00Z,9.0,101.2,2.1,62.8,1024.3,82.8,0.0,1.6,43.8,71.1,2.1
2016-02-25T03:00:00Z,5.7,18.9,1.2,75.7,1025.2,96.9,0.0,4.7,44.5,96.1,1.6
2016-02-25T06:00:00Z,4.5,359.9,1.7,75.6,1025.3,14.1,0.0,1.6,8.6,6.2,0.4
2016-02-25T09:00:00Z,4.1,17.5,1.8,69.8,1025.2,9.4,0.0,0.8,3.9,5.5,-1.1
2016-02-25T12:00:00Z,3.5,19.6,2.0,69.3,1025.1,4.7,0.0,3.1,3.9,0.8,-1.8
2016-02-25T15:00:00Z,3.4,28.8,1.9,69.7,1025.6,32.0,0.0,2.3,2.3,29.7,-1.8
2016-02-25T18:00:00Z,8.0,85.2,1.9,60.8,1026.2,99.2,0.0,0.8,0.8,99.2,0.7
2016-02-25T21:00:00Z,10.2,82.8,2.4,59.9,1024.5,85.9,0.0,0.0,10.2,85.2,2.7
2016-02-26T00:00:00Z,10.4,73.7,3.2,63.1,1023.1,0.0,0.0,0.0,0.0,0.0,3.6
2016-02-26T03:00:00Z,5.8,19.4,2.8,81.9,1023.1,0.0,0.0,0.0,0.0,0.0,2.9
2016-02-26T06:00:00Z,5.2,358.0,2.9,75.5,1022.5,79.7,0.0,0.0,0.0,79.7,1.1
2016-02-26T09:00:00Z,4.8,6.3,2.2,72.9,1022.2,89.1,0.0,0.0,0.0,89.1,0.2
2016-02-26T12:00:00Z,4.7,355.1,1.9,70.7,1021.8,70.3,0.0,0.0,0.8,70.3,-0.3
2016-02-26T18:00:00Z,8.5,91.8,0.8,66.9,1020.2,100.0,0.0,0.0,17.2,100.0,2.6
2016-02-27T00:00:00Z,10.2,158.8,0.9,70.9,1014.9,99.2,0.0,0.0,30.5,99.2,5.1
2016-02-27T06:00:00Z,7.1,280.5,4.1,83.4,1012.5,92.2,0.0,14.1,72.7,89.8,4.4
2016-02-27T12:00:00Z,5.8,241.5,7.2,93.6,1014.7,100.0,0.0,90.6,100.0,100.0,4.8
2016-02-27T18:00:00Z,6.9,256.2,9.7,75.9,1018.5,4.7,0.0,4.7,0.0,0.0,2.8
2016-02-28T00:00:00Z,8.6,266.5,7.7,62.2,1018.6,100.0,0.0,0.0,21.1,100.0,1.7
2016-02-28T06:00:00Z,5.5,262.8,3.3,75.5,1019.5,100.0,0.0,0.0,98.4,99.2,1.4
2016-02-28T12:00:00Z,4.7,304.4,1.2,78.0,1016.3,100.0,0.0,0.8,54.7,100.0,1.1
2016-02-28T18:00:00Z,6.5,241.8,3.3,74.2,1014.5,100.0,0.0,7.8,100.0,99.2,2.1
2016-02-29T00:00:00Z,5.3,257.0,7.5,87.8,1012.8,100.0,0.0,13.3,99.2,93.8,3.3
2016-02-29T06:00:00Z,1.9,258.1,7.5,89.0,1018.0,60.9,0.0,60.2,1.6,0.0,0.2
2016-02-29T12:00:00Z,1.1,255.1,5.5,90.7,1021.8,1.6,0.0,1.6,0.0,0.0,-0.4
