Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T00:00:00Z,7.5,107.0,2.5,67.8,1016.7,100.0,0.0,0.0,88.3,100.0,1.8
2016-02-24T03:00:00Z,5.1,99.7,3.8,77.9,1016.6,100.0,0.0,0.0,90.6,99.2,1.5
2016-02-24T06:00:00Z,4.7,117.2,3.4,70.7,1017.2,87.5,0.0,0.8,29.7,82.8,-0.4
2016-02-24T09:00:00Z,4.9,121.5,3.2,64.5,1017.5,100.0,0.0,0.0,97.7,91.4,-1.4
2016-02-24T12:00:00Z,4.8,121.2,3.0,62.6,1018.3,67.2,0.0,30.5,66.4,0.0,-1.9
2016-02-24T15:00:00Z,4.6,127.1,3.2,59.8,1018.7,54.7,0.0,37.5,21.9,26.6,-2.8
2016-02-24T18:00:00Z,8.0,139.2,3.1,58.8,1019.3,100.0,0.0,32.0,4.7,100.0,0.2
2016-02-24T21:00:00Z,11.4,158.7,4.3,54.9,1019.7,95.3,0.0,15.6,25.8,94.5,2.5
2016-02-25T00:00:00Z,10.7,158.5,3.4,65.5,1020.3,100.0,0.0,91.4,64.1,95.3,4.4
2016-02-25T03:00:00Z,8.3,144.1,3.3,74.1,1020.6,99.2,0.0,50.0,98.4,17.2,3.9
2016-02-25T06:00:00Z,7.4,145.5,3.7,78.5,1020.3,68.0,0.0,9.4,0.0,65.6,3.9
2016-02-25T09:00:00Z,7.5,144.0,3.9,82.5,1021.5,94.5,0.0,33.6,92.2,14.1,4.6
2016-02-25T12:00:00Z,7.7,141.8,3.9,82.3,1021.1,100.0,0.0,19.5,64.1,100.0,4.8
2016-02-25T15:00:00Z,8.0,135.5,4.0,82.8,1020.6,100.0,0.0,3.1,100.0,99.2,5.2
2016-02-25T18:00:00Z,9.5,131.5,4.2,76.2,1019.8,93.8,0.0,3.9,93.8,5.5,5.5
2016-02-25T21:00:00Z,8.9,130.0,4.5,86.9,1018.9,96.9,0.0,0.0,64.1,95.3,6.8
2016-02-26T00:00:00Z,10.9,124.0,4.5,78.0,1016.0,95.3,0.0,2.3,26.6,93.0,7.2
2016-02-26T03:00:00Z,9.8,137.0,4.6,74.3,1014.8,97.7,0.0,6.2,87.5,88.3,5.4
2016-02-26T06:00:00Z,10.2,147.8,4.6,65.9,1014.3,99.2,0.0,9.4,98.4,32.0,4.0
2016-02-26T09:00:00Z,8.3,155.5,5.4,78.5,1015.0,100.0,0.0,22.7,90.6,96.9,4.8
2016-02-26T12:00:00Z,7.5,137.8,4.3,92.0,1014.4,100.0,0.0,100.0,89.1,83.6,6.3
2016-02-26T18:00:00Z,7.6,141.4,3.9,93.6,1014.7,100.0,0.0,100.0,99.2,100.0,6.6
2016-02-27T00:00:00Z,7.7,166.0,1.9,97.0,1013.1,100.0,0.0,88.3,71.9,100.0,7.2
2016-02-27T06:00:00Z,6.1,224.4,1.1,97.5,1013.4,100.0,0.0,99.2,22.7,82.8,5.7
2016-02-27T12:00:00Z,3.9,160.1,1.8,97.5,1014.5,89.1,0.0,89.1,0.0,0.0,3.5
2016-02-27T18:00:00Z,5.7,142.8,2.7,89.8,1014.9,99.2,0.0,51.6,8.6,97.7,4.1
2016-02-28T00:00:00Z,8.7,148.6,5.0,60.1,1012.2,100.0,0.0,39.8,100.0,99.2,1.3
2016-02-28T06:00:00Z,6.4,125.7,5.9,71.9,1007.1,100.0,0.0,53.9,100.0,100.0,1.6
2016-02-28T12:00:00Z,4.8,133.6,5.1,94.5,1002.8,100.0,0.0,97.7,96.1,39.8,3.9
2016-02-28T18:00:00Z,5.6,196.2,2.0,91.7,1006.5,98.4,0.0,42.2,97.7,89.1,4.3
2016-02-29T00:00:00Z,6.2,233.5,2.8,84.3,1010.6,100.0,0.0,36.7,70.3,98.4,3.7
2016-02-29T06:00:00Z,4.0,211.5,1.9,92.8,1015.8,60.9,0.0,57.0,18.0,0.0,2.9
2016-02-29T12:00:00Z,3.6,162.9,1.1,93.4,1019.6,69.5,0.0,68.0,2.3,2.3,2.6
2016-02-29T18:00:00Z,4.9,137.1,4.2,89.5,1019.2,100.0,0.0,26.6,100.0,100.0,3.3
2016-03-01T00:00:00Z,4.5,137.5,6.7,87.4,1014.7,100.0,0.0,70.3,100.0,100.0,2.5
2016-03-01T06:00:00Z,2.9,147.0,5.4,95.0,1014.1,100.0,0.0,99.2,85.9,0.0,2.1
2016-03-01T12:00:00Z,3.4,106.7,4.4,94.1,1013.7,64.1,0.0,52.3,0.0,25.0,2.4
2016-03-01T18:00:00Z,5.8,90.1,4.3,85.2,1011.6,99.2,0.0,11.7,0.0,99.2,3.4
2016-03-02T00:00:00Z,6.8,90.4,4.4,81.2,1006.7,100.0,0.0,58.6,96.9,95.3,3.7
2016-03-02T06:00:00Z,3.4,81.6,4.6,96.1,1004.1,100.0,0.0,99.2,91.4,86.7,2.7
2016-03-02T12:00:00Z,3.9,67.5,1.5,93.9,1006.8,91.4,0.0,89.8,0.0,18.0,2.9
2016-03-02T18:00:00Z,6.5,91.5,1.6,84.1,1009.6,18.8,0.0,18.0,0.0,0.0,4.0
2016-03-03T00:00:00Z,8.6,77.9,2.6,67.3,1007.9,57.8,0.0,57.8,0.0,0.0,2.8
2016-03-03T06:00:00Z,4.9,67.8,4.0,93.9,1003.8,3.1,0.0,3.1,0.8,0.0,3.9
2016-03-03T12:00:00Z,4.1,73.4,3.5,91.7,1001.6,63.3,0.0,0.0,0.0,63.3,2.7
2016-03-03T18:00:00Z,7.1,127.7,3.1,85.7,1006.9,100.0,0.0,5.5,100.0,0.0,4.8
2016-03-04T00:00:00Z,10.4,186.5,3.0,61.7,1011.1,39.1,0.0,37.5,14.8,0.0,3.2
2016-03-04T06:00:00Z,6.2,66.7,0.2,77.7,1014.4,12.5,0.0,11.7,2.3,0.0,2.5
2016-03-04T12:00:00Z,2.5,103.3,0.9,87.7,1015.6,0.8,0.0,0.8,0.0,0.0,0.6
