Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T03:00:00Z,-7.6,228.7,1.3,78.3,1026.2,74.2,0.0,0.0,0.0,74.2,-11.1
2016-02-24T06:00:00Z,-10.8,234.2,1.3,81.1,1026.3,79.7,0.0,0.0,0.0,79.7,-13.8
2016-02-24T09:00:00Z,-11.7,233.7,1.2,77.2,1026.2,100.0,0.0,0.0,9.4,100.0,-15.3
2016-02-24T12:00:00Z,-10.9,233.8,1.1,80.3,1025.7,100.0,0.0,0.0,89.1,100.0,-14.1
2016-02-24T15:00:00Z,-9.6,229.8,1.8,79.6,1024.6,100.0,0.0,0.0,52.3,100.0,-12.8
2016-02-24T18:00:00Z,-4.4,229.5,1.2,64.5,1023.0,99.2,0.0,0.0,96.1,99.2,-10.4
2016-02-24T21:00:00Z,0.5,231.7,2.5,42.9,1021.1,99.2,0.0,0.0,97.7,97.7,-11.1
2016-02-25T00:00:00Z,-0.3,224.9,2.5,56.4,1020.6,0.0,0.0,0.0,0.0,0.0,-8.3
2016-02-25T03:00:00Z,-4.9,233.0,3.5,82.5,1021.0,0.0,0.0,0.0,0.0,0.0,-7.7
2016-02-25T06:00:00Z,-4.9,235.7,3.9,80.1,1020.7,0.0,0.0,0.0,0.0,0.0,-8.2
2016-02-25T09:00:00Z,-5.3,234.6,3.8,84.0,1020.4,97.7,0.0,0.0,0.0,97.7,-7.9
2016-02-25T12:00:00Z,-4.4,234.6,3.7,81.0,1020.3,92.2,0.0,0.0,7.8,92.2,-7.5
2016-02-25T15:00:00Z,-4.7,233.4,3.6,83.8,1019.9,96.1,0.0,0.0,2.3,96.1,-7.4
2016-02-25T18:00:00Z,0.5,234.9,2.9,66.1,1019.9,95.3,0.0,0.0,27.3,93.8,-5.4
2016-02-25T21:00:00Z,3.6,236.7,4.1,55.1,1018.2,100.0,0.0,0.0,0.0,100.0,-4.8
2016-02-26T00:00:00Z,2.5,233.7,3.2,65.4,1017.3,82.0,0.0,0.0,82.0,0.0,-3.6
2016-02-26T03:00:00Z,-1.2,229.6,3.7,84.0,1017.2,1.6,0.0,0.0,0.0,1.6,-3.7
2016-02-26T06:00:00Z,-1.9,232.0,3.5,84.3,1015.7,84.4,0.0,0.0,44.5,84.4,-4.4
2016-02-26T09:00:00Z,-0.4,235.4,3.8,78.7,1014.4,89.1,0.0,0.0,41.4,86.7,-3.9
2016-02-26T12:00:00Z,-0.6,234.2,3.4,81.6,1013.5,96.9,0.0,0.0,78.9,88.3,-3.6
2016-02-26T18:00:00Z,1.9,224.9,2.7,70.1,1011.4,90.6,0.0,0.0,2.3,89.1,-3.2
2016-02-27T00:00:00Z,3.6,238.3,2.5,69.7,1008.1,80.5,0.0,0.0,0.0,80.5,-1.6
2016-02-27T06:00:00Z,-0.8,228.2,3.0,94.2,1007.9,100.0,0.0,0.0,96.9,100.0,-1.8
2016-02-27T12:00:00Z,-2.0,236.6,2.4,97.2,1007.2,100.0,0.0,0.0,100.0,99.2,-2.6
2016-02-27T18:00:00Z,0.8,256.1,0.9,81.2,1008.3,0.0,0.0,0.0,0.0,0.0,-2.2
2016-02-28T00:00:00Z,2.7,253.3,2.4,60.9,1008.1,0.0,0.0,0.0,0.0,0.0,-4.3
2016-02-28T06:00:00Z,-3.4,231.0,2.9,87.0,1009.4,96.1,0.0,0.0,71.1,92.2,-5.5
2016-02-28T12:00:00Z,-6.3,232.4,2.5,86.5,1008.5,7.0,0.0,0.0,0.0,7.0,-8.5
2016-02-28T18:00:00Z,-1.3,46.7,0.7,73.9,1008.7,100.0,0.0,0.0,96.1,92.2,-5.6
2016-02-29T00:00:00Z,-0.4,56.5,1.3,77.8,1007.3,100.0,0.0,100.0,100.0,93.0,-4.1
2016-02-29T06:00:00Z,-3.8,321.7,0.5,94.9,1009.2,100.0,0.0,14.8,100.0,0.8,-4.7
2016-02-29T12:00:00Z,-5.0,231.4,3.3,88.0,1009.6,3.9,0.0,3.9,0.0,0.0,-7.0
2016-02-29T18:00:00Z,-0.6,243.1,3.5,70.6,1013.6,1.6,0.0,1.6,0.0,0.0,-5.6
2016-03-01T00:00:00Z,1.0,238.8,3.7,57.0,1013.6,0.0,0.0,0.0,0.0,0.0,-6.9
2016-03-01T06:00:00Z,-3.9,229.3,3.0,85.4,1013.5,99.2,0.0,0.0,96.9,98.4,-6.3
2016-03-01T12:00:00Z,-4.6,228.7,2.9,90.9,1011.2,42.2,0.0,3.9,36.7,29.7,-6.1
2016-03-01T18:00:00Z,-0.1,241.2,4.5,72.0,1011.2,43.8,0.0,4.7,39.8,0.0,-4.8
2016-03-02T00:00:00Z,1.6,261.0,3.3,55.6,1012.2,0.0,0.0,0.0,0.0,0.0,-6.7
2016-03-02T06:00:00Z,-6.4,229.9,2.5,82.3,1013.0,100.0,0.0,0.0,0.0,100.0,-9.3
2016-03-02T12:00:00Z,-9.2,241.7,0.8,87.2,1012.6,100.0,0.0,0.0,11.7,100.0,-11.3
2016-03-02T18:00:00Z,-2.1,211.7,0.3,69.1,1013.1,100.0,0.0,0.0,50.8,100.0,-7.3
2016-03-03T00:00:00Z,1.0,33.6,0.9,69.2,1011.0,100.0,0.0,0.0,85.9,100.0,-4.2
2016-03-03T06:00:00Z,-8.5,230.1,1.6,80.9,1011.3,0.0,0.0,0.0,0.0,0.0,-11.6
2016-03-03T12:00:00Z,-10.0,263.5,0.9,78.4,1012.8,0.0,0.0,0.0,0.0,0.0,-13.5
2016-03-03T18:00:00Z,-3.4,349.0,1.4,62.6,1015.9,0.0,0.0,0.0,0.0,0.0,-9.9
2016-03-04T00:00:00Z,-0.8,21.8,2.2,60.5,1016.3,0.8,0.0,0.8,0.0,0.0,-7.8
2016-03-04T06:00:00Z,-8.9,67.8,2.0,81.1,1024.2,64.1,0.0,64.1,0.0,0.0,-12.0
2016-03-04T12:00:00Z,-10.5,216.0,0.1,96.2,1026.9,58.6,0.0,58.6,0.0,0.0,-11.4
