Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T03:00:00Z,-5.2,182.4,0.6,66.4,1026.7,37.5,0.0,0.0,0.0,37.5,-10.8
2016-02-24T06:00:00Z,-12.3,156.3,1.5,76.8,1027.1,12.5,0.0,0.0,0.0,12.5,-16.0
2016-02-24T09:00:00Z,-14.9,140.5,1.2,80.8,1027.3,95.3,0.0,0.0,4.7,95.3,-18.0
2016-02-24T12:00:00Z,-15.4,142.5,1.6,75.5,1027.0,99.2,0.0,0.0,80.5,96.1,-19.3
2016-02-24T15:00:00Z,-14.1,152.5,1.9,75.7,1026.2,100.0,0.0,0.0,89.8,98.4,-17.9
2016-02-24T18:00:00Z,-5.7,158.9,1.0,63.0,1025.1,100.0,0.0,0.0,41.4,100.0,-12.0
2016-02-24T21:00:00Z,1.2,199.9,1.1,46.2,1022.4,100.0,0.0,0.0,100.0,93.0,-9.4
2016-02-25T00:00:00Z,1.1,201.6,1.5,56.6,1021.2,23.4,0.0,0.0,0.0,23.4,-6.8
2016-02-25T03:00:00Z,-3.7,197.3,2.3,66.2,1021.4,0.0,0.0,0.0,0.0,0.0,-9.4
2016-02-25T06:00:00Z,-4.5,205.6,2.6,68.0,1021.7,14.1,0.0,0.0,0.0,14.1,-9.9
2016-02-25T09:00:00Z,-4.3,209.1,2.6,69.8,1021.5,57.8,0.0,0.0,0.0,57.8,-9.3
2016-02-25T12:00:00Z,-4.2,204.0,2.2,70.6,1021.5,98.4,0.0,0.0,0.0,98.4,-9.1
2016-02-25T15:00:00Z,-4.5,194.9,1.9,72.3,1021.3,21.9,0.0,0.0,0.0,21.9,-9.1
2016-02-25T18:00:00Z,1.2,198.1,1.6,62.2,1021.1,72.7,0.0,0.0,11.7,71.1,-5.5
2016-02-25T21:00:00Z,5.5,231.3,3.0,48.2,1018.8,96.9,0.0,0.0,0.0,96.9,-4.9
2016-02-26T00:00:00Z,3.6,216.3,2.5,60.5,1018.2,89.1,0.0,0.0,17.2,88.3,-3.6
2016-02-26T03:00:00Z,0.3,205.8,2.5,72.4,1017.7,3.9,0.0,0.0,3.9,0.0,-4.3
2016-02-26T06:00:00Z,-2.3,191.0,2.0,75.3,1016.2,36.7,0.0,0.0,2.3,36.7,-6.3
2016-02-26T09:00:00Z,-3.0,183.8,2.0,73.3,1014.8,97.7,0.0,0.0,88.3,94.5,-7.4
2016-02-26T12:00:00Z,0.1,205.3,1.9,67.1,1013.2,99.2,0.0,0.0,97.7,93.8,-5.6
2016-02-26T18:00:00Z,4.2,223.5,2.2,59.3,1011.0,97.7,0.0,0.0,17.2,97.7,-3.2
2016-02-27T00:00:00Z,4.4,215.6,1.8,64.8,1009.1,94.5,0.0,0.0,4.7,94.5,-1.9
2016-02-27T06:00:00Z,0.6,217.2,2.0,84.8,1008.5,100.0,0.0,0.0,100.0,92.2,-1.8
2016-02-27T12:00:00Z,-2.2,233.8,1.6,90.0,1007.6,100.0,0.0,0.0,100.0,97.7,-3.9
2016-02-27T18:00:00Z,0.9,214.8,0.8,84.9,1008.6,100.0,0.0,0.0,100.0,75.0,-1.6
2016-02-28T00:00:00Z,3.8,253.8,2.6,58.3,1008.3,10.2,0.0,9.4,2.3,0.0,-3.9
2016-02-28T06:00:00Z,-4.2,212.7,2.0,83.9,1010.5,85.2,0.0,0.0,16.4,85.2,-6.8
